edo_nom,sexo,grupo_edad,conteo
Aguascalientes,Femenino,Adolescentes,216
Aguascalientes,Femenino,Adultos,47
Aguascalientes,Femenino,Adultos mayores,13
Aguascalientes,Femenino,Infancias,17
Aguascalientes,Femenino,Jóvenes,107
Aguascalientes,Indeterminado,Adolescentes,0
Aguascalientes,Indeterminado,Adultos,0
Aguascalientes,Indeterminado,Adultos mayores,0
Aguascalientes,Indeterminado,Infancias,0
Aguascalientes,Indeterminado,Jóvenes,0
Aguascalientes,Masculino,Adolescentes,117
Aguascalientes,Masculino,Adultos,172
Aguascalientes,Masculino,Adultos mayores,47
Aguascalientes,Masculino,Infancias,27
Aguascalientes,Masculino,Jóvenes,218
Baja California,Femenino,Adolescentes,61
Baja California,Femenino,Adultos,45
Baja California,Femenino,Adultos mayores,3
Baja California,Femenino,Infancias,7
Baja California,Femenino,Jóvenes,97
Baja California,Indeterminado,Adolescentes,0
Baja California,Indeterminado,Adultos,0
Baja California,Indeterminado,Adultos mayores,0
Baja California,Indeterminado,Infancias,0
Baja California,Indeterminado,Jóvenes,0
Baja California,Masculino,Adolescentes,79
Baja California,Masculino,Adultos,229
Baja California,Masculino,Adultos mayores,28
Baja California,Masculino,Infancias,8
Baja California,Masculino,Jóvenes,322
Baja California Sur,Femenino,Adolescentes,127
Baja California Sur,Femenino,Adultos,20
Baja California Sur,Femenino,Adultos mayores,2
Baja California Sur,Femenino,Infancias,5
Baja California Sur,Femenino,Jóvenes,57
Baja California Sur,Indeterminado,Adolescentes,0
Baja California Sur,Indeterminado,Adultos,0
Baja California Sur,Indeterminado,Adultos mayores,0
Baja California Sur,Indeterminado,Infancias,0
Baja California Sur,Indeterminado,Jóvenes,0
Baja California Sur,Masculino,Adolescentes,63
Baja California Sur,Masculino,Adultos,93
Baja California Sur,Masculino,Adultos mayores,23
Baja California Sur,Masculino,Infancias,7
Baja California Sur,Masculino,Jóvenes,122
Campeche,Femenino,Adolescentes,51
Campeche,Femenino,Adultos,8
Campeche,Femenino,Adultos mayores,1
Campeche,Femenino,Infancias,2
Campeche,Femenino,Jóvenes,15
Campeche,Indeterminado,Adolescentes,0
Campeche,Indeterminado,Adultos,0
Campeche,Indeterminado,Adultos mayores,0
Campeche,Indeterminado,Infancias,0
Campeche,Indeterminado,Jóvenes,0
Campeche,Masculino,Adolescentes,19
Campeche,Masculino,Adultos,21
Campeche,Masculino,Adultos mayores,5
Campeche,Masculino,Infancias,3
Campeche,Masculino,Jóvenes,35
Chiapas,Femenino,Adolescentes,283
Chiapas,Femenino,Adultos,50
